,Station,Previous Station Code,Up/Down Line,Day of Week,Hour,Minute,Number of Transfer,Congestion0,Congestion1,Congestion2,Congestion3,Congestion4,Congestion5,Congestion6,Congestion7,Congestion8,Congestion9,GetIn_cnt,GetOut_cnt,PrevCongestion0,PrevCongestion1,PrevCongestion2,PrevCongestion3,PrevCongestion4,PrevCongestion5,PrevCongestion6,PrevCongestion7,PrevCongestion8,PrevCongestion9,sin_time,cos_time,sin_minute,cos_minute,Route Code_0.0,Route Code_1.0,Route Code_2.0,Route Code_3.0,Route Code_4.0,Route Code_5.0,Fast Transfer0,Fast Transfer1,Fast Transfer2,Fast Transfer3,Fast Transfer4,Fast Transfer5,Fast Transfer6,Fast Transfer7,Fast Transfer8,Fast Transfer9,Fast Get Off0,Fast Get Off1,Fast Get Off2,Fast Get Off3,Fast Get Off4,Fast Get Off5,Fast Get Off6,Fast Get Off7,Fast Get Off8,Fast Get Off9
0,233,232,1,4,8,10,1.0,,,,,,,,,,,1426.6928880630005,833.6991185330926,60.6,59.0,78.4,88.0,76.6,79.2,85.6,72.2,64.8,57.2,0.8660254037844387,-0.4999999999999998,0.8660254037844386,0.5000000000000001,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0
1,234,233,1,4,8,10,2.0,,,,,,,,,,,2378.73144969686,1847.7801475148087,,,,,,,,,,,0.8660254037844387,-0.4999999999999998,0.8660254037844386,0.5000000000000001,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,0,1,0,1,0,0,1,0,1,0
2,235,234,1,4,8,10,0.0,,,,,,,,,,,889.2037477055,2249.301888943432,,,,,,,,,,,0.8660254037844387,-0.4999999999999998,0.8660254037844386,0.5000000000000001,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0
3,236,235,1,4,8,10,1.0,,,,,,,,,,,915.8740615092956,2468.227020676791,,,,,,,,,,,0.8660254037844387,-0.4999999999999998,0.8660254037844386,0.5000000000000001,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
4,237,236,1,4,8,10,1.0,,,,,,,,,,,1120.0564719793008,1516.5956486576547,,,,,,,,,,,0.8660254037844387,-0.4999999999999998,0.8660254037844386,0.5000000000000001,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
5,238,237,1,4,8,10,1.0,,,,,,,,,,,1273.9219989984113,2135.031949940779,,,,,,,,,,,0.8660254037844387,-0.4999999999999998,0.8660254037844386,0.5000000000000001,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
6,239,238,1,4,8,10,2.0,,,,,,,,,,,1858.023464602054,2425.1183457044585,,,,,,,,,,,0.8660254037844387,-0.4999999999999998,0.8660254037844386,0.5000000000000001,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
7,240,239,1,4,8,10,0.0,,,,,,,,,,,1229.578871451161,1866.4872397830788,,,,,,,,,,,0.8660254037844387,-0.4999999999999998,0.8660254037844386,0.5000000000000001,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0
8,241,240,1,4,8,10,0.0,,,,,,,,,,,792.1557933222276,881.0732832581087,,,,,,,,,,,0.8660254037844387,-0.4999999999999998,0.8660254037844386,0.5000000000000001,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
9,242,241,1,4,8,10,0.0,,,,,,,,,,,891.6374908552552,505.004291456579,,,,,,,,,,,0.8660254037844387,-0.4999999999999998,0.8660254037844386,0.5000000000000001,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
10,243,242,1,4,8,10,1.0,,,,,,,,,,,495.82872419495055,1339.4736054885957,,,,,,,,,,,0.8660254037844387,-0.4999999999999998,0.8660254037844386,0.5000000000000001,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
11,201,243,1,4,8,10,1.0,,,,,,,,,,,152.60677004018584,4111.547193121999,,,,,,,,,,,0.8660254037844387,-0.4999999999999998,0.8660254037844386,0.5000000000000001,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0
12,202,201,1,4,8,10,0.0,,,,,,,,,,,262.04080173375104,5135.240482476583,,,,,,,,,,,0.8660254037844387,-0.4999999999999998,0.8660254037844386,0.5000000000000001,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0
