,Station,Previous Station Code,Up/Down Line,Day of Week,Hour,Minute,Number of Transfer,GetIn_cnt,GetOut_cnt,PrevCongestion0,PrevCongestion1,PrevCongestion2,PrevCongestion3,PrevCongestion4,PrevCongestion5,PrevCongestion6,PrevCongestion7,PrevCongestion8,PrevCongestion9,sin_time,cos_time,sin_minute,cos_minute,Route Code_0.0,Route Code_1.0,Route Code_2.0,Route Code_3.0,Route Code_4.0,Route Code_5.0,Fast Transfer0,Fast Transfer1,Fast Transfer2,Fast Transfer3,Fast Transfer4,Fast Transfer5,Fast Transfer6,Fast Transfer7,Fast Transfer8,Fast Transfer9,Fast Get Off0,Fast Get Off1,Fast Get Off2,Fast Get Off3,Fast Get Off4,Fast Get Off5,Fast Get Off6,Fast Get Off7,Fast Get Off8,Fast Get Off9
9003,213,213,0,4,6,10,0.0,408.4651532646924,222.574920888603,21.0,21.142857142857142,14.857142857142858,15.714285714285714,21.0,17.571428571428573,28.857142857142858,28.0,16.714285714285715,16.571428571428573,1.0,6.123233995736766e-17,0.8660254037844386,0.5000000000000001,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
12321,219,219,1,4,7,40,0.0,266.5878774249684,2413.57732365713,67.0,70.0,80.0,93.0,88.0,92.0,88.0,71.0,74.0,67.0,0.9659258262890684,-0.2588190451025206,-0.8660254037844384,-0.5000000000000004,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
20076,232,232,0,3,10,50,0.0,2407.422495934928,1492.4829439546563,23.33333333333333,27.5,35.666666666666664,34.5,37.66666666666666,29.5,30.666666666666668,29.5,26.5,20.5,0.4999999999999999,-0.8660254037844387,-0.8660254037844386,0.5000000000000001,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
18835,229,229,0,0,8,0,0.0,2915.347519655703,646.3224421499037,98.83333333333331,128.5,139.83333333333334,141.83333333333334,154.83333333333334,148.33333333333334,145.5,136.0,131.5,125.0,0.8660254037844387,-0.4999999999999998,0.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
13607,221,221,1,0,9,50,0.0,99.83981935448342,440.2948881355542,38.5,45.0,48.5,54.5,59.5,54.5,46.0,43.0,30.5,26.5,0.7071067811865476,-0.7071067811865475,-0.8660254037844386,0.5000000000000001,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
17590,227,227,0,1,6,50,0.0,663.9624910776539,250.43878469368173,59.0,74.6,78.6,79.8,96.2,87.0,91.2,76.6,76.6,98.4,1.0,6.123233995736766e-17,-0.8660254037844386,0.5000000000000001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
26959,230,230,1,3,7,40,1.0,1908.9155452174623,309.5623031531333,26.2,34.4,42.6,43.4,36.4,37.4,44.6,41.4,34.4,33.4,0.9659258262890684,-0.2588190451025206,-0.8660254037844384,-0.5000000000000004,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
2232,203,203,0,2,10,0,1.0,98.12565332580482,1191.4030807921515,25.0,32.0,36.0,42.0,42.0,39.0,35.0,27.0,28.0,34.0,0.4999999999999999,-0.8660254037844387,0.0,1.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0
13784,221,221,1,2,9,40,0.0,99.83981935448342,440.2948881355542,33.4,49.6,51.6,63.8,62.8,56.6,53.6,45.4,40.4,28.4,0.7071067811865476,-0.7071067811865475,-0.8660254037844384,-0.5000000000000004,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
26409,243,243,0,1,10,10,1.0,137.1347296550365,191.04187353559328,12.5,15.0,22.5,19.0,18.0,18.0,16.0,18.5,17.0,13.5,0.4999999999999999,-0.8660254037844387,0.8660254037844386,0.5000000000000001,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
24486,240,240,0,3,9,10,0.0,115.49955674741967,120.22637912639334,17.25,25.25,29.25,27.25,25.25,27.25,25.25,26.25,16.25,13.25,0.7071067811865476,-0.7071067811865475,0.8660254037844386,0.5000000000000001,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0
