,Station,Previous Station Code,Up/Down Line,Day of Week,Hour,Minute,Number of Transfer,GetIn_cnt,GetOut_cnt,PrevCongestion0,PrevCongestion1,PrevCongestion2,PrevCongestion3,PrevCongestion4,PrevCongestion5,PrevCongestion6,PrevCongestion7,PrevCongestion8,PrevCongestion9,sin_time,cos_time,sin_minute,cos_minute,Route Code_0.0,Route Code_1.0,Route Code_2.0,Route Code_3.0,Route Code_4.0,Route Code_5.0,Fast Transfer0,Fast Transfer1,Fast Transfer2,Fast Transfer3,Fast Transfer4,Fast Transfer5,Fast Transfer6,Fast Transfer7,Fast Transfer8,Fast Transfer9,Fast Get Off0,Fast Get Off1,Fast Get Off2,Fast Get Off3,Fast Get Off4,Fast Get Off5,Fast Get Off6,Fast Get Off7,Fast Get Off8,Fast Get Off9
28377,234,234,1,2,10,30,2.0,2231.0603742877192,681.437423432282,15.0,15.0,19.0,24.0,20.0,23.0,28.0,24.0,17.0,14.0,0.4999999999999999,-0.8660254037844387,5.66553889764798e-16,-1.0,0,0,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,1,0,0,1,0,1,0
4678,207,207,1,3,10,50,0.0,606.4093649631517,187.0348549510693,31.0,40.0,45.0,39.0,36.0,34.0,30.0,33.0,31.0,30.0,0.4999999999999999,-0.8660254037844387,-0.8660254037844386,0.5000000000000001,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
22255,237,237,0,3,10,20,1.0,499.318033138628,319.51407147994166,5.0,7.0,9.0,7.0,6.0,5.0,8.0,6.0,4.0,4.0,0.4999999999999999,-0.8660254037844387,0.8660254037844387,-0.4999999999999998,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
12830,219,219,0,1,10,10,0.0,182.84225956133287,1655.378840726432,19.0,20.0,23.0,27.0,32.0,24.0,24.0,23.0,20.0,18.0,0.4999999999999999,-0.8660254037844387,0.8660254037844386,0.5000000000000001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
24294,240,240,0,4,8,30,0.0,430.4129093707567,653.3620752854142,28.5,35.75,37.75,35.75,31.75,30.75,32.75,38.0,34.75,22.5,0.8660254037844387,-0.4999999999999998,5.66553889764798e-16,-1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0
6769,210,210,1,4,7,30,0.0,313.2327613892888,641.2199517053791,65.6,46.0,55.8,70.6,53.0,53.8,55.6,48.0,42.2,57.8,0.9659258262890684,-0.2588190451025206,5.66553889764798e-16,-1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0
7600,211,211,1,0,9,20,1.0,139.12154789431838,449.3112180995948,42.0,37.0,48.0,45.0,36.0,38.0,41.0,34.0,29.0,39.0,0.7071067811865476,-0.7071067811865475,0.8660254037844387,-0.4999999999999998,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
396,201,201,0,2,8,0,1.0,86.59596968584158,2333.0774644122475,54.0,59.0,62.0,62.0,50.0,53.0,51.0,49.0,44.0,36.0,0.8660254037844387,-0.4999999999999998,0.0,1.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0
15458,224,224,1,3,9,10,0.0,54.10213425944378,125.44420428606328,33.0,35.2,31.2,38.2,36.8,40.2,38.2,36.2,23.0,17.2,0.7071067811865476,-0.7071067811865475,0.8660254037844386,0.5000000000000001,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
15662,224,224,0,0,6,10,0.0,224.3882766994603,520.2790833851695,54.2,59.4,54.2,63.6,60.2,62.4,61.6,61.4,58.2,78.2,1.0,6.123233995736766e-17,0.8660254037844386,0.5000000000000001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
22170,237,237,0,0,10,30,1.0,499.318033138628,319.51407147994166,13.333333333333334,18.666666666666668,18.5,17.666666666666668,18.5,15.5,18.5,15.5,11.333333333333334,8.166666666666666,0.4999999999999999,-0.8660254037844387,5.66553889764798e-16,-1.0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
4894,207,207,0,0,6,10,0.0,210.1138384083975,90.71273989240834,29.0,36.0,33.0,35.0,20.0,26.0,21.0,20.0,14.0,25.0,1.0,6.123233995736766e-17,0.8660254037844386,0.5000000000000001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
18206,228,228,0,1,8,10,0.0,4328.955384395563,1631.3348977722767,127.5,139.25,166.0,169.75,178.75,153.0,181.75,156.25,159.0,168.0,0.8660254037844387,-0.4999999999999998,0.8660254037844386,0.5000000000000001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
24684,240,240,0,2,10,10,0.0,289.0998161629905,284.14425365687083,10.75,16.0,21.25,20.75,17.0,18.0,17.75,16.0,14.0,8.25,0.4999999999999999,-0.8660254037844387,0.8660254037844386,0.5000000000000001,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0
